title,cpc_i,asignee,filing_date,patent_no,relevancy,category
Control system and method for unmanned aerial vehicles,B64G1/222;B64G1/425;B64C39/024;B64G1/64;B64G1/66;B64G1/1085;B64G1/10,Technion Research &amp; Development Foundation Limited,2018-12-13,10960991,66.71026,Aviation
FULLY AUTOMATED LAUNCH AND RECOVERY PLATFORM FOR UNMANNED AERIAL VEHICLE,B64F1/04;G05D1/0204;B64F1/029;B64C39/024;G05D1/0676;G08G5/0069;B64F1/0297;B64U10/25;G05D1/0661,Skyeton USA Inc.,2018-12-12,20200079505,66.79339,Aviation
"UNMANNED AERIAL VEHICLES WITH TILTING PROPELLERS, AND ASSOCIATED SYSTEMS AND METHODS",B64U10/10;B64C39/024;H02N2/108;H02K41/00;B64U30/297;B64U20/87;H02K16/04;B64C27/00;B64U10/14;B64U50/13;B64C27/20;B64C27/52,Unknown,2018-12-10,20190106210,64.57446,Aviation
UNMANNED AERIAL VEHICLE FOR USE NEAR HIGH VOLTAGE POWER LINES,G01R31/085;G05D1/0022;B64U20/30;G05D1/101;H02G1/02;B64C39/024;H05K9/0007,Unknown,2018-12-07,20190176984,63.95226,Aviation
PANORAMIC PHOTOGRAPHING METHOD FOR UNMANNED AERIAL VEHICLE AND UNMANNED AERIAL VEHICLE USING THE SAME,G06T7/97;G06T3/20;B64C39/024;G06T3/4038;G06T7/32,Unknown,2018-12-06,20200027222,67.4306,Aviation
METHODS AND NETWORK DEVICES FOR MOBILITY MANAGEMENT OF UNMANNED AERIAL VEHICLES,H04W48/14;H04W36/00835;H04W48/16;H04W36/32;H04W8/005;H04W36/08,Unknown,2018-12-06,20210037436,65.928474,Aviation
SYSTEMS AND METHODS FOR DELIVERING MERCHANDISE USING A NETWORK OF UNMANNED AERIAL VEHICLES,G06Q10/08355;H04L9/3297;H04L9/0825;H04L9/0894;H04W12/02;H04L63/123;H04W12/08;H04L9/50;B64C39/024;G05D1/104;H04L9/3239;G05D1/0027,Unknown,2018-12-05,20190180237,62.483673,Aviation
Apparatus and method for continuous launching of unmanned aerial vehicles,B64F1/06;B64C39/024;B64U80/70,NANJING UNIVERSITY OF AERONAUTICS AND ASTRONAUTICS,2018-11-30,11679896,65.70506,Aviation
"Unmanned aerial vehicle display control system, display control device and display control method",G02B27/0179;G02B27/0093;G05D1/00;B64C39/024;G02B27/0172,"RAKUTEN GROUP, INC.",2018-11-30,11492115,60.21901,Aviation
COOPERATIVE TARGET EXECUTION SYSTEM FOR UNMANNED AERIAL VEHICLE NETWORKS,G08G5/0021;G08G5/0008;B64C39/024;G06Q50/40;G06Q10/0631;H04W24/02;H04W16/10;G08G5/0069,Unknown,2018-11-29,20190289469,66.893814,Aviation
UNMANNED AERIAL VEHICLE FLIGHT PATH EFFICIENCY THROUGH AERODYNAMIC DRAFTING,G08G5/0043;G08G5/0026;G08G5/0021;G08G5/0082;G08G5/0008;G08G5/0013;G08G5/0039;G08G5/0069;G08G5/0052,Unknown,2018-11-29,20200175881,65.79786,Aviation
"GIMBAL, IMAGING DEVICE, AND UNMANNED AERIAL VEHICLE",B64D47/08;F16M11/18;B64C39/024;G03B15/006;F16M11/123;F16M11/2092;G03B17/561;F16M11/10;F16M11/2071,Unknown,2018-11-28,20190161208,66.74526,Aviation
Methods for Maintaining Difficult-to-Access Structures Using Unmanned Aerial Vehicles,G05D1/0202;B64C39/024;B64U10/13;B64U50/19;F03D17/00;F03D80/50;B64C27/20;B64C27/37;G05D1/0094;B64U30/26;G05D1/101,The Boeing Company,2018-11-28,20200166938,65.21555,Aviation
"UNMANNED AERIAL VEHICLE, DELIVERY SYSTEM, CONTROL METHOD FOR UNMANNED AERIAL VEHICLE, AND PROGRAM FOR CONTROLLING UNMANNED AERIAL VEHICLE",G08G5/0021;G05D1/0088;G01C21/005;G08G5/0069;B64C39/024;G08G5/0091;G08G5/0039;G05D1/0676;G05D1/10;G06V20/58;G08G5/045,Unknown,2018-11-28,20190147751,64.86673,Aviation
Unmanned aerial vehicle assisted V2X,H04W4/027;H04W4/029;G08G1/096791;G08G5/0078;G08G1/162;G08G1/052;G08G1/096725;G08G1/096716;H04W4/46;H04W4/44;G08G1/0965;G08G1/096758,"T-Mobile USA, Inc.",2018-11-20,10616734,68.67979,Aviation
"DRIVING DEVICE, SPRAYING DEVICE, AND UNMANNED AERIAL VEHICLE",H02K7/102;H02K7/14;H02K7/08;B64D1/18;B64C39/024;B05B3/1035;H02K7/003;B05B3/1021;H02K7/1021,Unknown,2018-11-18,20210066995,67.08352,Aviation
CHARGING A RECHARGEABLE BATTERY OF AN UNMANNED AERIAL VEHICLE IN FLIGHT USING A HIGH VOLTAGE POWER LINE,B60L5/005;B64U50/35;H02G1/02;B64C39/024;B60L53/12;H02J50/001;H02J50/10,Unknown,2018-11-16,20190144112,59.508503,Aviation
ANTENNA ARRANGEMENT FOR AN UNMANNED AERIAL VEHICLE,H04B7/0814;H01Q21/30;H01Q21/06;H04B7/0608;H04B7/18515;H01Q3/30;H04B7/18504;H01Q1/28,Unknown,2018-11-15,20220013924,69.22292,Aviation
UNMANNED AERIAL VEHICLE,B64D1/18;B64C39/024;A01M7/005;A01M7/0042,Unknown,2018-11-12,20200329690,73.57898,Aviation
SYSTEM AND METHOD FOR SECURE COMMUNICATION WITH ONE OR MORE UNMANNED AERIAL VEHICLES,H04W12/106;H04W12/50;H04L9/0643;H04L9/3242;H04L9/0861;H04W12/069,Unknown,2018-11-12,20200153634,62.62647,Aviation
UNMANNED AERIAL VEHICLE,B60L15/20;B64U10/16;B64U70/83;B64D9/003;B64D17/80;B60L50/60;B64C25/54;B64D27/24;B64C39/024,Unknown,2018-11-09,20210237868,70.98749,Aviation
Systems and methods for automatic route re-determination for an unmanned aerial vehicle,G01S19/42;G01C21/20;G06Q40/02;G08G5/0069;B64C39/024;G06Q10/08355;G01G19/07;G05D1/0202;G01S5/0027;G01C21/005;B64C1/22;G08G5/0039;G08G5/0056,"Capital One Services, LLC",2018-11-09,10319030,64.351776,Aviation
"UNMANNED AERIAL VEHICLE TRAFFIC MANAGEMENT APPARATUS, TAKEOFF AND LANDING FACILITY MANAGEMENT APPARATUS, UNMANNED AERIAL VEHICLE TRAFFIC MANAGEMENT METHOD, AND UNMANNED AERIAL VEHICLE SYSTEM",G08G5/0065;G08G5/025;G08G5/0069;G08G9/00;B64U70/90;G08G5/0013;B64C39/024;G08G5/0056;G08G5/02;G08G5/0039,"Rakuten, Inc.",2018-11-09,20210225178,62.428593,Aviation
UNMANNED AERIAL VEHICLE,B64C23/069;B64U30/40;B64C9/18;B64C39/024;B64U30/12;B64F5/10;B64C39/04;B64C9/16;B64C1/26,The Boeing Company,2018-11-08,20190168872,73.57898,Aviation
DYNAMICALLY DOCKING AN UNMANNED AERIAL VEHICLE,B64U70/00;B64F1/362;H04L67/306;B64F1/12;B60L53/36;H04L47/824;B60L53/60;B60L53/16;B64F1/22;B60L53/14;B60L53/31;H04L67/12,Unknown,2018-11-08,20200153755,69.92785,Aviation
SURVEILLANCE WITH AN UNMANNED AERIAL VEHICLE,F41H9/04;B64U10/14;B64D1/18;B60L53/12;B64C39/024;B05B13/005;B64U50/38;B64U30/20,Unknown,2018-11-08,20200354059,69.72804,Aviation
UNDERGROUND INFRASTRUCTURE SENSING USING UNMANNED AERIAL VEHICLE (UAV),G01V8/005;G01V11/002;G01S7/412;G01V8/02;G01S13/885;B64C39/024;G05D1/0094,"RedZone Robotics, Inc.",2018-11-08,20190137653,65.69959,Aviation
Retrofittable Float with an Underwater Camera Attachment for Unmanned Aerial Vehicles,G03B17/08;B64C25/54;B64C39/024;G03B15/006;B64U20/87,Unknown,2018-11-08,20190137847,64.447464,Aviation
Power communication to regulate charge of unmanned aerial vehicle,B60L53/14;B64U50/37;H02J7/0036;B64F1/362;B60L53/60;B60L58/12;B64U50/19;H02J7/00034;H02J7/0048;B60L53/66;B60L53/31;B64U70/80;B60L50/60;H02J7/00712;H02J7/0013,Wing Aviation LLC,2018-11-06,10630082,65.70506,Aviation
Unmanned aerial vehicle jettison apparatus,B64D1/02;B64D1/12;B64U10/13;B64D5/00;B64C7/00;B64C39/024,"The United States of America, as represented by the Secretary of the Navy",2018-11-05,11117667,69.92905,Aviation
BROADBAND UNMANNED AERIAL VEHICLE (UAV) PATCH ANTENNA,B64D7/00;H01Q1/52;H01Q1/286;B64U20/80;H01Q9/0414;H01Q1/38;B64C39/024;H01Q1/48;B64C1/00,Raytheon Company,2018-11-02,20200144704,68.58324,Aviation
Method and System of Cooperative Charging Between an Unmanned Aerial Vehicle and an Unmanned Surface Vessel,H02J50/12;B64U70/99;H02J7/06;B64U50/38;G05D1/101;G06T7/70;G06T7/20;H02J7/342;H02J50/90;B64U80/84;G05D1/102;B64C39/024;B64U70/30,"Guangdong Institute of Industrial Technology, Huazhong University of Science",2018-11-02,20190312461,62.948772,Aviation
"RADAR BASED SYSTEM AND METHOD FOR DETECTION OF AN OBJECT AND GENERATION OF PLOTS HOLDING RADIAL VELOCITY DATA, AND SYSTEM FOR DETECTION AND CLASSIFICATION OF UNMANNED AERIAL VEHICLES, UAVS",G01S13/72;G01S13/32;G01S7/415;G01S13/584;G01S13/723;G01S13/536;G01S13/933,ROBIN RADAR FACILITIES BV,2018-11-02,20200326418,54.266956,Aviation
Unmanned aerial vehicle for traffic management and surveillance,G05D1/0094;G08G5/0069;G08G5/0078;B64C39/024;B64U10/14;G08G1/0175;G08G1/0133;B64D45/00;G08G1/012;G08G5/0013;G08G1/097;G08G1/0125;G08G1/091;G08G1/0141;G08G1/04;G08G1/07;G08G1/0145,Unknown,2018-10-31,11113964,68.6305,Aviation
METHOD AND SYSTEM FROM CONTROLLING AN UNMANNED AERIAL VEHICLE,G05D1/0061;G08G5/0091;B64D47/08;G05D1/0022;G08G5/0069;G06V20/13;G08G5/006;B64C39/024;G08G5/0013;B64U50/19;G05D1/101;G08G5/0078;G05D1/0088;G08G5/0039;G08G5/0026,Unknown,2018-10-31,20190061942,66.350945,Aviation
UNMANNED AERIAL VEHICLE,B64U30/26;B64C27/20;B64U10/14;B64C27/08,Unknown,2018-10-29,20190291858,72.274086,Aviation
SYSTEMS AND METHODS FOR TRANSFERRING CONTROL OF AN UNMANNED AERIAL VEHICLE,G05D1/0061;G05D1/0022;B64C39/024;G05D1/0088;G05D1/101,"Ford Global Technologies, LLC",2018-10-29,20200130829,66.350945,Aviation
ALLOWING ACCESS TO UNMANNED AERIAL VEHICLES,G08G5/0069;B64C39/024;G08G5/0082;G08C17/02;G05D1/0016;G08G5/0013;H04B7/00;G05D1/101;G05D1/0022;G06F21/44,Unknown,2018-10-26,20200257287,68.35544,Aviation
"UNMANNED AERIAL VEHICLE, UNMANNED AERIAL VEHICLE CONTROL CENTER, AND UNMANNED AERIAL VEHICLE ALARM METHOD",G08B21/182;B64U70/90;B64D45/00;G08B25/14;B64U50/19;B64C39/024;G08B25/10,Unknown,2018-10-26,20190152620,68.25162,Aviation
FEEDBACK BASED SMART CLUSTERING MECHANISM FOR UNMANNED AERIAL VEHICLE ASSIGNMENT,G08G5/0026;G06Q10/063;G06Q50/40;G08G5/0091;G08G5/0013;B64C39/024;G08G5/0069;G08G5/0043,Unknown,2018-10-26,20200130828,64.58006,Aviation
"Method for Configuring Navigation Chart, Method for Avoiding Obstacle and Device, Terminal and Unmanned Aerial Vehicle",G08G5/0013;B64C39/024;G08G5/045;G01C21/20;G05D1/106;G06T7/50;G08G5/006;G08G5/0069,"Guangzhou Xaircraft Technology Co., Ltd",2018-10-26,20200394924,61.78379,Aviation
UNMANNED AERIAL VEHICLE,F16M13/02;F16M11/42;F16M3/00;B64U10/14;B64C27/37;B64C1/30;B64U30/293;B64U60/50;F16M7/00;F16M11/04;B64C39/024,"PRODRONE CO., LTD.",2018-10-22,20200269965,72.41116,Aviation
Unmanned aerial vehicle,Unknown,"GUANGZHOU WALKERA TECHNOLOGY CO., LTD",2018-10-19,D885301,70.233765,Aviation
UNMANNED AERIAL VEHICLE AND PROPULSION SYSTEM FOR AN UNMANNED AERIAL VEHICLE,B64C11/44;B64C11/32;B64C27/58;B64D27/24;B64C27/10;B64C39/024;B64C27/14;B64C11/306;B64C27/12,UVIONIX AEROSPACE CORPORATION,2018-10-18,20190118941,69.693214,Aviation
"MEASURING DEVICE, CONTROL DEVICE FOR UNMANNED AERIAL VEHICLE AND COMPUTER PROGRAM PRODUCT FOR CONTROLLING UNMANNED AERIAL VEHICLE",G05D1/102;B64C39/024;G06T7/90;G08G5/0069;G06T7/73;G05D1/12;G08G5/0073;G05D1/101,TOPCON CORPORATION,2018-10-15,20190113937,63.793285,Aviation
UNMANNED AERIAL VEHICLE,B64C39/024;A01M31/002;B64D47/08;G06V20/188;H04N23/695;H04N7/18;G05D1/0094;G05D1/101,Unknown,2018-10-12,20200244890,72.01357,Aviation
"FLIGHT DIRECTION DISPLAY METHOD AND APPARATUS, AND UNMANNED AERIAL VEHICLE",H04N7/185;B64U20/80;G05D1/0038;G01C23/005;B64D47/08;B64C39/024,Unknown,2018-10-12,20190047706,62.59773,Aviation
"METHODS AND APPARATUSES OF GENERATING A UNMANNED AERIAL VEHICLE MIGRATION TRAJECTORY, ELECTRONIC DEVICES AND STORAGE MEDIUMS",G08G5/0026;G08G5/0034;G08G5/0013;G08G5/0069;G08G5/0039;G06F17/18;G05D1/0044;G08G5/0043;G05D1/101,Unknown,2018-10-12,20210295714,59.058968,Aviation
CONTAINMENT APPARATUS FOR AN UNMANNED AERIAL VEHICLE AND METHOD FOR INSTALLING THE SAME,B66D1/60;E04G21/3266;E04G21/3261;B64F1/027;B64F1/02,"Mid-American Gunite, Inc. dba Mid-American Group",2018-10-05,20200108948,65.57383,Aviation
UPLINK TRANSMISSION POWER MANAGEMENT FOR UNMANNED AERIAL VEHICLES,H04W52/243;H04W52/146;H04W72/541;H04W52/367,Unknown,2018-10-02,20200288407,66.23754,Aviation
"UNMANNED AERIAL VEHICLE, DATA PROCESSING DEVICE, PATH SELECTION DEVICE, PROCESSING METHOD AND PROCESSING PROGRAM",G08G5/0034;G08G5/025;G08G5/0086;G08G5/0039;B64C39/024;G01C21/20;G05D1/0676,TOPCON CORPORATION,2018-10-01,20190103032,59.508503,Aviation
Noise modulation for unmanned aerial vehicles,B64C11/18;B64U50/19;B64C39/024;G10K15/04;B64U50/13,Snap Inc.,2018-09-28,11753142,69.399,Aviation
System and method for automatically determining crop characteristics using unmanned aerial vehicle (UAV),G01S15/04;B64C39/024;A01B79/005;G05D1/0646;G01S15/86;G06F16/909;G01S15/88;G01S15/02;G01S7/4808,Unknown,2018-09-28,20190170860,63.679104,Aviation
Unmanned aerial vehicle,Unknown,"Donghan Solar UAV Technology Co., Ltd.",2018-09-27,D871256,69.72534,Aviation
UNMANNED AERIAL VEHICLE SURFACE PROJECTION,H04N9/3194;G06T7/521;G06T5/80;B64C39/024;G06T7/593;H04N9/3173;H04N9/3185,Unknown,2018-09-27,20190052852,69.34867,Aviation
"METHOD, DEVICE AND SYSTEM FOR PROVIDING FLIGHT PATH OF UNMANNED AERIAL VEHICLE",H04W68/04;B64C39/024;G08G5/0052;G08G5/0082;G05D1/101;G08G5/0013;H04B7/18506;H04W76/10;G05D1/0022;G08G5/0043;G08G5/0069;G08G5/0026,"BEIJING XIAOMI MOBILE SOFTWARE CO., LTD.",2018-09-27,20210331799,63.532284,Aviation
"SYSTEMS, DEVICES AND METHODS FOR COMMUNICATING DATA WITH UNMANNED AERIAL VEHICLES USING UNDERLAY BROADCAST CHANNEL",H04B1/7097;H04J13/0003;H04B7/18506;H04W72/30;B64C39/024;H04B1/707,Unknown,2018-09-27,20190327712,58.9283,Aviation
UNMANNED AERIAL VEHICLE,B64C39/024;H01Q21/24;B64U20/83;H01Q1/28,Unknown,2018-09-26,20190036203,72.01357,Aviation
"UNMANNED AERIAL VEHICLE CONTROL METHOD, UNMANNED AERIAL VEHICLE CONTROL DEVICE, AND COMPUTER READABLE STORAGE MEDIUM",G05D1/0676;B64D45/08;B64C39/024;G05D3/20;G05D1/102;B64U70/00,"BEIJING JINGDONG SHANGKE INFORMATION TECHNOLOGY CO., LTD.,BEIJING JINGDONG CENTURY TRADING CO., LTD.",2018-09-26,20210171193,62.667282,Aviation
"AERIAL SPRAYING APPARATUS, UNMANNED AERIAL VEHICLE SYSTEM, AND UNMANNED AERIAL VEHICLE",B64C39/024;B65H75/425;B64U50/30;B65H59/384;B64U10/60;B65H75/4484;B64F3/00;B64D1/18,Unknown,2018-09-25,20190106212,68.928406,Aviation
UNMANNED AERIAL VEHICLE (UAV) RECHARGING/REFUELLING STATION,B64F1/28;B64F1/362;B64U10/25;B64U70/95;B64U80/25;B64F1/029;B64U50/37;B64F1/22;B64F1/20;B64F1/007;B64U10/20,Unknown,2018-09-25,20190100331,67.34909,Aviation
Secure remote access to components of an unmanned aerial vehicle,H04L9/3263;B64C39/024;H04W12/08;H04L63/0823;B64F5/40;H04L9/3247;H04L67/12;H04L9/3268;B64F5/60;H04W12/069;H04L9/3228,"Amazon Technologies, Inc.",2018-09-25,11066164,65.05873,Aviation
METHOD AND APPARATUS FOR TRANSMITTING DATA OF UNMANNED AERIAL VEHICLE CONTROL SYSTEM,H04W52/367;G08G5/0069;H04W52/325;H04W52/226;G08G5/0013;G08G5/0021;H04W4/40;H04W52/38,Electronics and Telecommunications Research Institute,2018-09-25,20200005653,63.734207,Aviation
WING UNIT OF UNMANNED AERIAL VEHICLE AND UNMANNED AERIAL VEHICLE,B64C39/024;B64C1/26;B64U10/25,Unknown,2018-09-21,20190375489,67.48584,Aviation
PORTABLE AND VEHICLE-INTEGRATED STORAGE AND DEPLOYMENT SYSTEM FOR UNMANNED AERIAL VEHICLE,B64C39/024;B60P3/11;B64U70/90;B64F1/007;B64U80/70,"Ford Global Technologies, LLC",2018-09-21,20200094957,63.05425,Aviation
PREAMBLE MANAGEMENT FOR UNMANNED AERIAL VEHICLES,G08G5/0013;G08G5/0008;G08G5/0069;H04B7/18506;H04W4/90;G08G5/006;H04W4/00,Unknown,2018-09-19,20210074166,70.71336,Aviation
UNMANNED AERIAL VEHICLE FLEET MANAGEMENT,G05D1/0027;B64U70/80;G08G5/0021;G05D1/0022;G08G5/0013;G08G5/0086;G05D1/104;G07C5/008;B64C39/024;G08G5/0069,Unknown,2018-09-17,20200089220,69.92785,Aviation
UNMANNED AERIAL VEHICLE (UAV) LAUNCH AND RECOVERY,B64C39/024;B64F1/12;B64F1/0297,Unknown,2018-09-17,20200087004,66.86769,Aviation
METHOD OF FAR-END CONTROL FOR UNMANNED AERIAL VEHICLE,G05D1/0038;G05D1/0022;G05D1/0016;H04N7/185;B64C39/024,Unknown,2018-09-13,20190077509,69.53185,Aviation
"FOLDABLE PROPELLER, POWER ASSEMBLY AND UNMANNED AERIAL VEHICLE",B64C11/28;B64U50/13;B64U50/19;B64C39/024;B64C11/46;B64C27/50;B64C11/04;B64U30/293,Unknown,2018-09-13,20190055003,66.71787,Aviation
SYSTEMS AND METHODS FOR COLLECTING AND ANALYZING HAZARDOUS MATERIALS INFORMATION USING AN UNMANNED AERIAL VEHICLE,G08G5/0034;G08G5/0013;G06T11/206;B64C39/024;G08G5/0091;G08G5/0069;G08G5/0026,"Alliance Solutions Group, Inc.",2018-09-12,20200135036,60.881912,Aviation
PHOTOGRAPHIC ASSEMBLY AND UNMANNED AERIAL VEHICLE,G03B17/561;B64D47/08;G03B15/006;F16M13/02;F16M11/2064;F16M11/04;F16M11/123;F16M11/10;F16M11/18;F16M11/2071;F16M11/105;B64C39/024,Unknown,2018-09-11,20180373127,70.43723,Aviation
UNMANNED AERIAL VEHICLE AND SYSTEM HAVING THE SAME AND METHOD FOR SEARCHING FOR ROUTE OF UNMANNED AERIAL VEHICLE,B64C39/024;G08G5/006;G05D1/101;G08G5/0013;G08G5/0034;G05D1/042;G08G5/0026;G01C21/20;G05D1/0088;G05D1/0011;G08G5/0069,Unknown,2018-09-10,20190244530,64.45991,Aviation
"GIMBAL, GIMBAL ASSEMBLY AND UNMANNED AERIAL VEHICLE",G03B15/006;G03B17/561;B64U20/87;B64D47/08,Unknown,2018-09-07,20180364548,67.46989,Aviation
METHOD AND SYSTEM FOR BODE PLOT INFORMATION COLLECTION FOR HOVERING/FIXED-WING UNMANNED AERIAL VEHICLES (UAVS),G05D1/0816;G05B13/02;G05D1/0825;G05B13/042,Unknown,2018-09-07,20230176590,60.422367,Aviation
UNMANNED AERIAL VEHICLE JAMMER,B64U20/87;B64U30/20;H04K3/43;B64D47/00;B64C39/024;H04K3/92;H04K3/42;H04K3/44;F41H13/0006;B64D7/00;H04K3/90,Unknown,2018-09-06,20200083979,71.04299,Aviation
UNMANNED AERIAL VEHICLE RADAR DETECTION,H01Q1/526;B64U70/30;G01S13/933;G01S13/72;G01S7/415;H01Q1/28;G01S13/449;B64C39/024;G01S7/417;H01Q21/28;F41H13/0006;F41H11/02;H01Q21/061,Unknown,2018-09-06,20200158822,70.83446,Aviation
UNMANNED AERIAL VEHICLE WITH ISOLATED COMPONENTS,B64C39/024;B64D45/00;B64C1/061;B64C27/001,Unknown,2018-09-06,20200079488,68.08042,Aviation
UNMANNED AERIAL VEHICLE FOR POSITIONING AGAINST A WALL,B64U10/14;B64U60/60;B64U10/16;B64U20/70;B64C39/024;B64U60/50;B64C25/34;B64C25/52,Unknown,2018-09-06,20200283144,67.25283,Aviation
SHARED WIRELESS CHARGING DOCKING STATION FOR UNMANNED AERIAL VEHICLES AND A PRIORITY-BASED WIRELESS CHARGING METHOD,B60L53/68;B60L53/66;B64U50/38;B60L53/12;B64F1/362;B64C39/024;B60L53/67,"SHANGHAI CHUSHAN TECHNOLOGY CO., LTD.",2018-09-06,20210229566,59.492844,Aviation
UNMANNED AERIAL VEHICLE AND ARM CONNECTION STRUCTURE THEREOF,B64C39/024;F16C11/045;F16C11/04;B64U10/13;B64U30/26,Unknown,2018-09-05,20200070974,66.71787,Aviation
FIXING DEVICE FOR MOBILE TERMINAL AND UNMANNED AERIAL VEHICLE REMOTE,F16M13/02;H04M1/04;F16M13/00;F16M11/041;F16B2/12;H04M1/11,Unknown,2018-09-05,20180363841,65.03757,Aviation
AGRICULTURAL UNMANNED AERIAL VEHICLE,B64C39/024;B64D1/18;A01G25/00;A01G25/16,Unknown,2018-09-04,20190009907,71.74851,Aviation
UNMANNED AERIAL VEHICLE WITH PROTECTIVE OUTER CAGE,B64D47/08;B64D47/02;B64U30/297;B64U10/14;B64D27/24;B64U30/299;B64U50/30;B64C39/024;B64U30/24;B64U50/13;B60L50/60,Unknown,2018-09-04,20210061463,68.07317,Aviation
UNMANNED AERIAL VEHICLE (UAV) TETHERED WING RECOVERY,B64C25/68;B64C39/024;B64C3/38;B64U30/12,Unknown,2018-08-31,20200070973,66.9209,Aviation
MOBILE TRAILER SYSTEMS FOR DEPLOYING UNMANNED AERIAL VEHICLES,B64U80/10;B64U70/95;B64F1/222;G06Q10/08;B60P3/11;B64U80/70;B64U80/40;B64U60/50;B64U60/40;B64U70/93;B64U70/50;B64C39/024;B64F1/32;B60P3/007,Unknown,2018-08-30,20190070995,67.25283,Aviation
UNMANNED AERIAL VEHICLE WITH CO-AXIAL REVERSIBLE ROTORS,B64C27/08;B64U30/24;B64C39/024;G05D1/0072;G05D1/0858;B64U10/14,IDEAFORGE TECHNOLOGY PVT. LTD.,2018-08-30,20200223547,66.172066,Aviation
"METHOD FOR PROVIDING FLIGHT PATH OF UNMANNED AERIAL VEHICLE, OBTAINING METHOD, APPARATUS, AND SYSTEM",H04W76/27;G08G5/0069;G08G5/0013;B64C39/024;H04W68/00;H04W76/19;G08G5/0026;H04B7/18506;H04W68/005,Unknown,2018-08-30,20210351840,60.9152,Aviation
"METHOD FOR PROVIDING FLIGHT ROUTE TO UNMANNED AERIAL VEHICLE, ACQUISITION METHOD AND DEVICE, AND SYSTEM",H04W76/27;B64C39/024;G08G5/006;H04B7/18506;G08G5/0069;G08G5/003,Unknown,2018-08-30,20210319704,59.606426,Aviation
UNMANNED AERIAL VEHICLES,G06V40/193;H04N7/18;B64U10/14;G05D1/0094;G05D1/12;H04N23/695;G05D1/1064;G05D1/0088;B64C39/024;G05D1/005;G05D1/0033;B64D45/00;G06V20/17;G06V20/13,Unknown,2018-08-27,20190072986,72.022964,Aviation
Unmanned Aerial Vehicles with Compact Storage Mode,B64C3/56;B64U10/70;B64D27/24;B64C39/024;B64U30/20,Textron Innovations Inc.,2018-08-27,20200062390,68.296585,Aviation
Unmanned Aerial Vehicles with Interchangeable Wing Modules,B64C39/024;B64U30/20;B64U30/14;B64C3/56,Textron Innovations Inc.,2018-08-27,20200062391,67.9048,Aviation
